nx,ny,np,steps,dt,dx,dy,g,eps,serial_time_s,mpi_time_s,speedup,max_abs_diff,mean_abs_diff,max_rel_diff,n,serial_csv,mpi_csv,pass
80,60,1,60,0.01,1.0,1.0,9.81,1e-12,0.001615,0.001578,1.023447,0.000e+00,0.000e+00,0.000e+00,4800,outputs/correctness_lf_only_20260204_155325/serial_80x60.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_80x60.csv,1
80,60,2,60,0.01,1.0,1.0,9.81,1e-12,0.001641,0.001318,1.245068,0.000e+00,0.000e+00,0.000e+00,4800,outputs/correctness_lf_only_20260204_155325/serial_80x60.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_80x60.csv,1
80,60,4,60,0.01,1.0,1.0,9.81,1e-12,0.001854,0.001003,1.848455,0.000e+00,0.000e+00,0.000e+00,4800,outputs/correctness_lf_only_20260204_155325/serial_80x60.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_80x60.csv,1
100,80,1,60,0.01,1.0,1.0,9.81,1e-12,0.003484,0.002810,1.239858,0.000e+00,0.000e+00,0.000e+00,8000,outputs/correctness_lf_only_20260204_155325/serial_100x80.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_100x80.csv,1
100,80,2,60,0.01,1.0,1.0,9.81,1e-12,0.004848,0.001367,3.546452,0.000e+00,0.000e+00,0.000e+00,8000,outputs/correctness_lf_only_20260204_155325/serial_100x80.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_100x80.csv,1
100,80,4,60,0.01,1.0,1.0,9.81,1e-12,0.002607,0.001830,1.424590,0.000e+00,0.000e+00,0.000e+00,8000,outputs/correctness_lf_only_20260204_155325/serial_100x80.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_100x80.csv,1
120,80,1,60,0.01,1.0,1.0,9.81,1e-12,0.005027,0.002942,1.708702,0.000e+00,0.000e+00,0.000e+00,9600,outputs/correctness_lf_only_20260204_155325/serial_120x80.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_120x80.csv,1
120,80,2,60,0.01,1.0,1.0,9.81,1e-12,0.003740,0.001805,2.072022,0.000e+00,0.000e+00,0.000e+00,9600,outputs/correctness_lf_only_20260204_155325/serial_120x80.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_120x80.csv,1
120,80,4,60,0.01,1.0,1.0,9.81,1e-12,0.003950,0.001811,2.181115,0.000e+00,0.000e+00,0.000e+00,9600,outputs/correctness_lf_only_20260204_155325/serial_120x80.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_120x80.csv,1
160,120,1,60,0.01,1.0,1.0,9.81,1e-12,0.009513,0.010972,0.867025,0.000e+00,0.000e+00,0.000e+00,19200,outputs/correctness_lf_only_20260204_155325/serial_160x120.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_160x120.csv,1
160,120,2,60,0.01,1.0,1.0,9.81,1e-12,0.006716,0.006561,1.023624,0.000e+00,0.000e+00,0.000e+00,19200,outputs/correctness_lf_only_20260204_155325/serial_160x120.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_160x120.csv,1
160,120,4,60,0.01,1.0,1.0,9.81,1e-12,0.006915,0.003695,1.871448,0.000e+00,0.000e+00,0.000e+00,19200,outputs/correctness_lf_only_20260204_155325/serial_160x120.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_160x120.csv,1
200,150,1,60,0.01,1.0,1.0,9.81,1e-12,0.013558,0.009583,1.414797,0.000e+00,0.000e+00,0.000e+00,30000,outputs/correctness_lf_only_20260204_155325/serial_200x150.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_200x150.csv,1
200,150,2,60,0.01,1.0,1.0,9.81,1e-12,0.014137,0.008833,1.600475,0.000e+00,0.000e+00,0.000e+00,30000,outputs/correctness_lf_only_20260204_155325/serial_200x150.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_200x150.csv,1
200,150,4,60,0.01,1.0,1.0,9.81,1e-12,0.020739,0.008056,2.574355,0.000e+00,0.000e+00,0.000e+00,30000,outputs/correctness_lf_only_20260204_155325/serial_200x150.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_200x150.csv,1
240,180,1,60,0.01,1.0,1.0,9.81,1e-12,0.030429,0.023325,1.304566,0.000e+00,0.000e+00,0.000e+00,43200,outputs/correctness_lf_only_20260204_155325/serial_240x180.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_240x180.csv,1
240,180,2,60,0.01,1.0,1.0,9.81,1e-12,0.025327,0.009831,2.576238,0.000e+00,0.000e+00,0.000e+00,43200,outputs/correctness_lf_only_20260204_155325/serial_240x180.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_240x180.csv,1
240,180,4,60,0.01,1.0,1.0,9.81,1e-12,0.058070,0.008738,6.645686,0.000e+00,0.000e+00,0.000e+00,43200,outputs/correctness_lf_only_20260204_155325/serial_240x180.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_240x180.csv,1
280,200,1,60,0.01,1.0,1.0,9.81,1e-12,0.027016,0.023527,1.148298,0.000e+00,0.000e+00,0.000e+00,56000,outputs/correctness_lf_only_20260204_155325/serial_280x200.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_280x200.csv,1
280,200,2,60,0.01,1.0,1.0,9.81,1e-12,0.032217,0.021444,1.502378,0.000e+00,0.000e+00,0.000e+00,56000,outputs/correctness_lf_only_20260204_155325/serial_280x200.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_280x200.csv,1
280,200,4,60,0.01,1.0,1.0,9.81,1e-12,0.029373,0.009317,3.152624,0.000e+00,0.000e+00,0.000e+00,56000,outputs/correctness_lf_only_20260204_155325/serial_280x200.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_280x200.csv,1
