scheme,impl,np,nx,ny,steps,dt,dx,dy,g,time_s,t_seq_s,speedup,efficiency,hmin,hmax,no_output
lf,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.062218,0.062218,1,1,1.000000e+00,1.004972e+00,1
lf,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.091134,0.062218,0.6827089779884565,0.6827089779884565,1.000000e+00,1.004972e+00,1
lf,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.031592,0.062218,1.9694226386426943,0.9847113193213471,1.000000e+00,1.004972e+00,1
lf,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.021906,0.062218,2.8402264219848448,0.7100566054962112,1.000000e+00,1.004972e+00,1
lw,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.095056,0.095056,1,1,8.933616e-01,1.659461e+00,1
lw,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.113918,0.095056,0.8344247616706754,0.8344247616706754,8.933616e-01,1.659461e+00,1
lw,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.065352,0.095056,1.4545231974537889,0.7272615987268944,8.933616e-01,1.659461e+00,1
lw,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.046164,0.095056,2.0590936660601336,0.5147734165150334,8.933616e-01,1.659461e+00,1
mc,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.076296,0.076296,1,1,5.249046e-01,1.256854e+00,1
mc,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.085841,0.076296,0.8888060483917941,0.8888060483917941,5.249046e-01,1.256854e+00,1
mc,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.042356,0.076296,1.8013032392105017,0.9006516196052509,5.249046e-01,1.256854e+00,1
mc,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.073114,0.076296,1.043521076674782,0.2608802691686955,5.249046e-01,1.256854e+00,1
